"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,10.3,16.9,0.0445026178010471
"2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,24.2,30.5,0.081151832460733
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.7,9.6,0.138743455497382
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,15.3,9,0.178010471204188
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,29.8,14.3,0.232984293193717
"6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,37.4,19.5,0.282722513089005
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,32.3,19.4,0.371727748691099
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,42.8,21.6,0.56282722513089
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,31.8,18.3,0.371727748691099
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,20.4,18.3,0.526178010471204
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,24.5,23.3,0.37434554973822
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,18.3,17.6,0.528795811518325
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,16.1,15.3,0.306282722513089
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,22.4,16.4,0.267015706806283
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,32.6,14.2,0.392670157068063
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,15,24.6,0.115183246073298
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,7.9,13.3,0.206806282722513
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5,21.9,0.209424083769634
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,6.5,26.8,0.37434554973822
"20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,22.9,25.2,0.345549738219895
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,15.5,19.7,0.130890052356021
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,6.3,24.5,0
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,-3.6,15.6,0.128272251308901
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.9,17.9,0.476439790575916
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,24.7,31.7,0.539267015706806
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,24.8,11,0.518324607329843
"27",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,26.4,8.8,0.646596858638743
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,20.4,11.8,0.0968586387434555
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,15.5,6.3,0.342931937172775
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,19.2,6.8,0.261780104712042
