"","crime_day","temp","wdsp","NUM_CRIMES"
"3",5,10.3,16.9,0.0445026178010471
"4",6,24.2,30.5,0.081151832460733
"8",3,9.7,9.6,0.138743455497382
"9",4,15.3,9,0.178010471204188
"10",5,29.8,14.3,0.232984293193717
"11",6,37.4,19.5,0.282722513089005
"12",7,32.3,19.4,0.371727748691099
"13",1,42.8,21.6,0.56282722513089
"14",2,31.8,18.3,0.371727748691099
"15",3,20.4,18.3,0.526178010471204
"16",4,24.5,23.3,0.37434554973822
"17",5,18.3,17.6,0.528795811518325
"18",6,16.1,15.3,0.306282722513089
"19",7,22.4,16.4,0.267015706806283
"20",1,32.6,14.2,0.392670157068063
"21",2,15,24.6,0.115183246073298
"22",3,7.9,13.3,0.206806282722513
"23",4,5,21.9,0.209424083769634
"24",5,6.5,26.8,0.37434554973822
"25",6,22.9,25.2,0.345549738219895
"26",7,15.5,19.7,0.130890052356021
"27",1,6.3,24.5,0
"28",2,-3.6,15.6,0.128272251308901
"29",3,9.9,17.9,0.476439790575916
"30",4,24.7,31.7,0.539267015706806
"31",5,24.8,11,0.518324607329843
"32",6,26.4,8.8,0.646596858638743
"33",7,20.4,11.8,0.0968586387434555
"34",1,15.5,6.3,0.342931937172775
"35",2,19.2,6.8,0.261780104712042
"36",3,22.8,22.2,0.0392670157068063
"37",4,9.6,13.2,0.170157068062827
"38",5,4.9,16.3,0.384816753926702
"39",6,11.7,11.1,0.151832460732984
"40",7,15.6,10.9,0.269633507853403
"41",1,9,12.9,0.193717277486911
"42",2,8.3,10.5,0.130890052356021
"43",3,15.5,11.1,0.159685863874346
"44",4,22.9,14,0.256544502617801
"45",5,20.8,14.9,0.395287958115183
"46",6,18.1,12.2,0.243455497382199
"47",7,19.6,14.3,0.102094240837696
"48",1,22.9,18.5,0.136125654450262
"49",2,31,17.7,0.227748691099476
"50",3,39.8,15.6,0.429319371727749
"51",4,34.8,13.1,0.269633507853403
"52",5,34.5,30.1,0.450261780104712
"53",6,29.6,19.7,0.267015706806283
"54",7,23.8,14.1,0.225130890052356
"55",1,18.6,17.8,0.235602094240838
"56",2,18.6,14.9,0.272251308900524
"57",3,8.1,19.6,0.303664921465969
"58",4,10.9,21.1,0.175392670157068
"59",5,12.7,13.1,0.405759162303665
"60",6,24.5,14.5,0.5
"61",7,10.7,18.3,0.0130890052356021
"62",1,8.2,12.2,0.12303664921466
"63",2,15.5,8.3,0.214659685863874
"64",3,20.2,11.6,0.238219895287958
"65",4,18.6,10.6,0.303664921465969
