crime_day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
2,2024,01,02,2024-01-02,38.0,30.0,9999.9,999.9,18.4,21.0,999.9,39.0,36.5,0.0,999.9,0,655
3,2024,01,03,2024-01-03,33.9,31.2,9999.9,999.9,13.1,22.9,999.9,38.3,31.3,0.0,999.9,0,676
4,2024,01,04,2024-01-04,34.0,24.8,9999.9,999.9,12.9,21.0,999.9,36.3,31.5,0.0,999.9,0,692
5,2024,01,05,2024-01-05,33.3,24.4,9999.9,999.9,10.5,15.9,999.9,35.1,30.9,0.0,999.9,0,681
6,2024,01,06,2024-01-06,33.9,31.8,9999.9,999.9,12.4,18.1,999.9,35.2,32.7,0.0,999.9,0,638
7,2024,01,07,2024-01-07,33.9,32.0,9999.9,999.9,12.2,20.0,999.9,35.1,32.9,0.0,999.9,0,644
1,2024,01,08,2024-01-08,34.8,30.5,9999.9,999.9,12.5,19.0,999.9,37.2,33.3,0.0,999.9,0,658
2,2024,01,09,2024-01-09,36.4,35.7,9999.9,999.9,22.1,34.0,999.9,38.1,34.5,0.0,999.9,0,547
3,2024,01,10,2024-01-10,34.9,31.9,9999.9,999.9,21.1,31.1,999.9,37.6,31.8,0.0,999.9,0,681
4,2024,01,11,2024-01-11,33.7,30.8,9999.9,999.9,17.7,26.0,999.9,35.8,31.8,0.0,999.9,0,640
5,2024,01,12,2024-01-12,35.0,33.2,9999.9,999.9,21.9,44.1,999.9,39.6,31.6,0.0,999.9,0,554
6,2024,01,13,2024-01-13,28.8,27.2,9999.9,999.9,24.4,33.0,999.9,40.3,15.3,0.0,999.9,0,540
7,2024,01,14,2024-01-14,-0.7,-3.8,9999.9,999.9,27.3,36.9,999.9,13.8,-8.3,0.0,999.9,0,399
1,2024,01,15,2024-01-15,-3.7,-7.0,9999.9,999.9,17.2,24.1,999.9,4.8,-7.4,0.0,999.9,0,499
2,2024,01,16,2024-01-16,0.6,-5.6,9999.9,999.9,18.5,22.9,999.9,4.3,-4.2,0.0,999.9,0,491
3,2024,01,17,2024-01-17,9.4,-0.8,9999.9,999.9,20.8,26.0,999.9,19.0,4.1,0.0,999.9,0,567
4,2024,01,18,2024-01-18,21.2,14.3,9999.9,999.9,9.5,19.0,999.9,22.6,19.0,0.0,999.9,0,595
5,2024,01,19,2024-01-19,14.8,10.2,9999.9,999.9,19.8,24.1,999.9,21.6,12.0,0.0,999.9,0,581
6,2024,01,20,2024-01-20,12.8,5.1,9999.9,999.9,18.9,24.1,999.9,19.0,8.4,0.0,999.9,0,558
7,2024,01,21,2024-01-21,14.2,3.5,9999.9,999.9,14.8,24.1,999.9,21.2,9.9,0.0,999.9,0,542
1,2024,01,22,2024-01-22,26.4,20.5,9999.9,999.9,24.8,35.0,999.9,33.1,21.0,0.0,999.9,0,601
2,2024,01,23,2024-01-23,33.6,33.6,9999.9,999.9,10.6,18.1,999.9,35.6,32.4,0.0,999.9,0,640
3,2024,01,24,2024-01-24,35.3,35.3,9999.9,999.9,5.1,12.0,999.9,36.7,34.2,0.0,999.9,0,629
4,2024,01,25,2024-01-25,35.6,35.6,9999.9,999.9,9.9,14.0,999.9,37.2,34.2,0.0,999.9,0,702
5,2024,01,26,2024-01-26,35.7,35.7,9999.9,999.9,12.9,19.0,999.9,37.6,34.5,0.0,999.9,0,714
6,2024,01,27,2024-01-27,36.3,36.3,9999.9,999.9,8.7,14.0,999.9,37.9,34.7,0.0,999.9,0,675
7,2024,01,28,2024-01-28,35.1,35.0,9999.9,999.9,19.6,27.0,999.9,36.5,34.0,0.0,999.9,0,712
1,2024,01,29,2024-01-29,34.1,32.8,9999.9,999.9,12.4,20.0,999.9,38.1,31.1,0.0,999.9,0,684
2,2024,01,30,2024-01-30,36.7,36.6,9999.9,999.9,15.6,24.1,999.9,38.7,34.9,0.0,999.9,0,727
3,2024,01,31,2024-01-31,37.7,35.2,9999.9,999.9,12.9,19.0,999.9,38.5,35.6,0.0,999.9,0,704
4,2024,02,01,2024-02-01,39.9,38.1,9999.9,999.9,15.2,28.9,999.9,46.8,37.2,0.0,999.9,0,784
5,2024,02,02,2024-02-02,36.6,36.5,9999.9,999.9,13.1,19.0,999.9,38.5,34.2,0.0,999.9,0,694
6,2024,02,03,2024-02-03,33.7,33.5,9999.9,999.9,10.1,15.9,999.9,37.8,30.2,0.0,999.9,0,655
7,2024,02,04,2024-02-04,35.9,35.6,9999.9,999.9,9.9,14.0,999.9,37.2,34.3,0.0,999.9,0,681
1,2024,02,05,2024-02-05,35.3,35.1,9999.9,999.9,14.0,19.0,999.9,36.3,33.8,0.0,999.9,0,724
2,2024,02,06,2024-02-06,34.6,34.5,9999.9,999.9,9.5,15.0,999.9,36.3,31.5,0.0,999.9,0,698
3,2024,02,07,2024-02-07,37.3,35.2,9999.9,999.9,10.7,15.0,999.9,43.9,34.5,0.0,999.9,0,722
4,2024,02,08,2024-02-08,46.6,38.6,9999.9,999.9,22.0,35.9,999.9,54.9,39.6,0.0,999.9,0,709
5,2024,02,09,2024-02-09,51.3,41.3,9999.9,999.9,23.9,36.9,999.9,55.4,44.8,0.0,999.9,0,745
6,2024,02,10,2024-02-10,39.1,30.5,9999.9,999.9,12.2,20.0,999.9,54.5,32.9,0.0,999.9,0,709
7,2024,02,11,2024-02-11,34.0,28.8,9999.9,999.9,8.4,15.9,999.9,37.0,31.3,0.0,999.9,0,646
1,2024,02,12,2024-02-12,35.0,29.7,9999.9,999.9,7.3,13.0,999.9,39.0,31.6,0.0,999.9,0,667
2,2024,02,13,2024-02-13,36.5,27.2,9999.9,999.9,12.1,21.0,999.9,41.7,32.2,0.0,999.9,0,654
3,2024,02,14,2024-02-14,35.5,26.5,9999.9,999.9,8.9,15.0,999.9,38.8,32.9,0.0,999.9,0,688
4,2024,02,15,2024-02-15,39.8,30.4,9999.9,999.9,20.0,31.1,999.9,44.1,37.6,0.0,999.9,0,658
5,2024,02,16,2024-02-16,30.9,15.5,9999.9,999.9,14.2,22.9,999.9,39.7,27.3,0.0,999.9,0,705
6,2024,02,17,2024-02-17,21.6,7.5,9999.9,999.9,20.4,29.9,999.9,30.7,14.2,0.0,999.9,0,655
7,2024,02,18,2024-02-18,30.6,16.7,9999.9,999.9,22.4,33.0,999.9,44.6,24.1,0.0,999.9,0,681
1,2024,02,19,2024-02-19,36.6,29.6,9999.9,999.9,8.1,15.9,999.9,44.2,32.2,0.0,999.9,0,673
2,2024,02,20,2024-02-20,40.9,31.2,9999.9,999.9,13.8,26.0,999.9,53.2,34.7,0.0,999.9,0,669
3,2024,02,21,2024-02-21,51.5,35.0,9999.9,999.9,20.3,25.1,999.9,63.5,45.9,0.0,999.9,0,682
4,2024,02,22,2024-02-22,45.4,38.4,9999.9,999.9,8.4,15.9,999.9,61.5,38.5,0.0,999.9,0,683
5,2024,02,23,2024-02-23,44.5,32.4,9999.9,999.9,13.5,19.0,999.9,55.8,37.9,0.0,999.9,0,643
6,2024,02,24,2024-02-24,26.9,18.3,9999.9,999.9,17.9,32.1,999.9,29.7,24.6,0.0,999.9,0,651
7,2024,02,25,2024-02-25,40.0,26.1,9999.9,999.9,21.5,33.0,999.9,59.2,30.2,0.0,999.9,0,702
1,2024,02,26,2024-02-26,50.0,36.8,9999.9,999.9,10.7,28.0,999.9,66.2,39.7,0.0,999.9,0,682
2,2024,02,27,2024-02-27,59.8,52.4,9999.9,999.9,25.5,35.0,999.9,66.4,54.7,0.0,999.9,0,705
3,2024,02,28,2024-02-28,38.6,31.1,9999.9,999.9,23.1,34.0,999.9,63.7,19.9,0.0,999.9,0,666
4,2024,02,29,2024-02-29,28.9,6.8,9999.9,999.9,15.4,25.1,999.9,43.3,21.9,0.0,999.9,0,711
5,2024,03,01,2024-03-01,39.1,22.1,9999.9,999.9,18.9,27.0,999.9,43.2,35.6,0.0,999.9,0,812
6,2024,03,02,2024-03-02,42.7,35.8,9999.9,999.9,13.6,21.0,999.9,47.7,38.3,0.0,999.9,0,646
7,2024,03,03,2024-03-03,48.2,42.6,9999.9,999.9,22.0,28.9,999.9,61.5,41.0,0.0,999.9,0,676
1,2024,03,04,2024-03-04,58.4,51.6,9999.9,999.9,20.0,29.9,999.9,65.3,48.7,0.0,999.9,0,715
2,2024,03,05,2024-03-05,44.6,43.8,9999.9,999.9,21.0,31.1,999.9,66.7,38.1,0.0,999.9,0,702
3,2024,03,06,2024-03-06,38.9,38.6,9999.9,999.9,20.0,26.0,999.9,39.6,38.3,0.0,999.9,0,658
4,2024,03,07,2024-03-07,38.8,35.7,9999.9,999.9,11.7,20.0,999.9,41.0,36.7,0.0,999.9,0,665
5,2024,03,08,2024-03-08,40.6,40.3,9999.9,999.9,12.7,19.0,999.9,43.0,39.4,0.0,999.9,0,644
6,2024,03,09,2024-03-09,40.1,34.6,9999.9,999.9,19.2,32.1,999.9,42.3,38.7,0.0,999.9,0,647
7,2024,03,10,2024-03-10,35.6,21.3,9999.9,999.9,21.2,32.1,999.9,40.1,32.0,0.0,999.9,0,626
1,2024,03,11,2024-03-11,45.9,27.4,9999.9,999.9,16.8,31.1,999.9,66.6,37.0,0.0,999.9,0,676
